2026-06-14 20:26:33 | INFO     | ultron-trading | ← GET /api/stocks/NFLX/quote → 200 (281.5ms)
2026-06-14 21:56:29 | INFO     | ultron-trading | → GET /api/search from 127.0.0.1
2026-06-14 21:56:29 | INFO     | ultron-trading | ← GET /api/search → 307 (11.7ms)
2026-06-14 21:56:33 | INFO     | ultron-trading | → GET /api/search from 127.0.0.1
2026-06-14 21:56:33 | INFO     | ultron-trading | ← GET /api/search → 307 (0.9ms)
2026-06-14 21:57:00 | INFO     | ultron-trading | → GET /api/stocks/AAPL/quote from 127.0.0.1
2026-06-14 21:57:00 | INFO     | ultron-trading.stocks | Quote requested for AAPL
2026-06-14 21:57:01 | INFO     | ultron-trading.stocks | Quote for AAPL: $291.13 (-1.52%)
2026-06-14 21:57:01 | INFO     | ultron-trading | ← GET /api/stocks/AAPL/quote → 200 (461.2ms)
2026-06-14 21:57:09 | INFO     | ultron-trading | → GET /api/search from 127.0.0.1
2026-06-14 21:57:09 | INFO     | ultron-trading | ← GET /api/search → 307 (0.6ms)
2026-06-14 21:57:30 | INFO     | ultron-trading | → GET /api/search from 127.0.0.1
2026-06-14 21:57:30 | INFO     | ultron-trading | ← GET /api/search → 307 (0.5ms)
2026-06-14 21:58:47 | INFO     | ultron-trading | → GET /api/search/ from 127.0.0.1
2026-06-14 21:58:47 | INFO     | ultron-trading.search | Search request: 'Microsoft'
2026-06-14 21:58:47 | INFO     | ultron-trading.search | yfinance search returned 5 results for 'Microsoft'
2026-06-14 21:58:47 | INFO     | ultron-trading | ← GET /api/search/ → 200 (113.1ms)
2026-06-14 22:35:36 | INFO     | ultron-trading | → GET /api/stocks/AAPL/history from 176.137.127.108
2026-06-14 22:35:36 | INFO     | ultron-trading.stocks | History requested for AAPL (period=6mo, interval=1d)
2026-06-14 22:35:36 | INFO     | ultron-trading.stocks | History for AAPL: 124 data points returned
2026-06-14 22:35:36 | INFO     | ultron-trading | ← GET /api/stocks/AAPL/history → 200 (130.9ms)
2026-06-14 22:35:36 | INFO     | ultron-trading | → GET /api/stocks/AAPL/quote from 176.137.127.108
2026-06-14 22:35:36 | INFO     | ultron-trading.stocks | Quote requested for AAPL
2026-06-14 22:35:36 | INFO     | ultron-trading.stocks | Quote for AAPL: $291.13 (-1.52%)
2026-06-14 22:35:36 | INFO     | ultron-trading | ← GET /api/stocks/AAPL/quote → 200 (164.6ms)
